gene_symbol,Abo
parameter_name,Follicular B cells - % of CD45+
parameter_id,MGP_IMM_112_001
mouse_strain,C57BL
analysis_id,x385c5g2863md7l
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
pvalue,0.3469111
