gene_symbol,Psd4
mouse_strain,C57BL
parameter_id,IMPC_XRY_027_001
analysis_id,432wh5094l98e37
mouse_life_stage,Early adult
parameter_name,Joints
pvalue,0.455417
gene_accession_id,MGI:2674093
