analysis_id,8csq93a0eil8ahn
pvalue,0.9961091
parameter_name,Mean platelet volume
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
