analysis_id,9914n822320s225
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
pvalue,0.4257976
gene_symbol,Car13
parameter_name,BMC/Body weight
gene_accession_id,MGI:1931322
mouse_strain,C57BL
