gene_symbol,Zfp683
parameter_id,MGP_IMM_101_001
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1tc486xt1c6ql05
pvalue,0.8550342
gene_accession_id,MGI:3650254
