parameter_name,Light side time spent
analysis_id,tg9dd1i539j0107
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.1307149
mouse_life_stage,Early adult
gene_symbol,Eprs1
parameter_id,JAX_LDT_002_001
