analysis_id,566l854j86j12c2
mouse_strain,C57BL
gene_symbol,Trp53rkb
mouse_life_stage,Early adult
pvalue,0.2797393
parameter_id,IMPC_EYE_062_001
gene_accession_id,MGI:1914050
parameter_name,Right total retinal thickness
