analysis_id,529x8d9mknr6hq2
parameter_id,MGP_MLN_021_001
mouse_life_stage,Early adult
pvalue,0.07557985
gene_symbol,Extl1
mouse_strain,C57BL
gene_accession_id,MGI:1888742
parameter_name,KLRG1+ gd T cells - % of gd T cells
