analysis_id,d224u518f220595
gene_symbol,Maco1
pvalue,0.7329482
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
