parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,Early adult
analysis_id,9893t94n3j421x4
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
mouse_strain,C57BL
pvalue,0.4717679
