parameter_id,HRWLLA_FEA_015_001
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
analysis_id,u8h0im4ilz6lp67
parameter_name,Cue Baseline % Freezing Time
mouse_life_stage,Early adult
pvalue,0.2291171
