analysis_id,9606cg1646zcezx
mouse_strain,C57BL
pvalue,0.7914007
parameter_name,Cleft palate
gene_accession_id,MGI:97838
parameter_id,IMPC_GEP_076_001
mouse_life_stage,Early adult
gene_symbol,Eprs1
