gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
analysis_id,r0479816macxhg5
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
parameter_name,Neutrophil percentage
pvalue,0.1516427
