parameter_id,JAXLA_CBC_015_001
analysis_id,4ew8ha3861734z6
parameter_name,Total cholesterol
gene_accession_id,MGI:1917810
gene_symbol,Wars2
pvalue,0.1941097
mouse_life_stage,Early adult
mouse_strain,C57BL
