analysis_id,1woa2r518k6e990
mouse_strain,129SV
parameter_id,IMPC_ABR_006_001
gene_symbol,Arpc2
parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:1923959
pvalue,0.5157597
mouse_life_stage,Early adult
