parameter_name,Lean/Body weight
parameter_id,ESLIM_005_001_702
pvalue,0.7811666
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7c0r9f294hm72c6
