analysis_id,47ct273s156xxo2
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
pvalue,0.7229508
gene_symbol,Kdm4c
mouse_strain,C57BL
