parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
pvalue,0.3813767
gene_accession_id,MGI:95835
gene_symbol,Hspa5
analysis_id,ujwz1jj17pm0j16
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
