analysis_id,99q8297fs28o26h
parameter_name,Coat - hair distribution - back
parameter_id,IMPC_CSD_011_001
pvalue,0.5941998
mouse_life_stage,Early adult
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_strain,C57BL
