parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
mouse_strain,C57BL
analysis_id,5z6770c9bdxo702
parameter_name,Vibrissae - appearance
gene_symbol,Lamb3
pvalue,0.8461894
