parameter_name,Stroke Volume
gene_accession_id,MGI:1919949
analysis_id,xk56vb6hg22vi65
gene_symbol,Lime1
pvalue,0.1072897
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
mouse_life_stage,Early adult
