parameter_name,Latency to center entry
gene_symbol,Pum1
mouse_life_stage,Early adult
pvalue,0.05504901
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1931749
analysis_id,z441cxt982570o2
