analysis_id,6bk24070o31g1z5
parameter_id,M-G-P_005_001_001
mouse_strain,129SV
parameter_name,Weight
mouse_life_stage,Early adult
gene_symbol,Inpp1
gene_accession_id,MGI:104848
pvalue,0.8338777
