parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
gene_accession_id,MGI:1914583
analysis_id,79r1x1b1j7poq31
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Stk35
pvalue,0.6202478
