parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
gene_symbol,Kdm5b
mouse_strain,C57BL
analysis_id,cvmi650u9079028
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
pvalue,0.3245613
