analysis_id,0838eqp656494p6
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.36992
gene_symbol,Atf3
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
