parameter_name,Embryo Size
gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6387459
parameter_id,IMPC_GEO_019_001
analysis_id,r4283f05553e409
gene_accession_id,MGI:99605
