analysis_id,xl925y04851p75g
parameter_id,IMPC_IMM_047_001
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:88174
pvalue,0.9199961
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Bmi1
