parameter_name,PP1 startle magnitude
mouse_strain,C57BL
pvalue,0.4834506
mouse_life_stage,Early adult
analysis_id,jpi589z7c8bjbm1
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_id,ESLIM_011_001_002
