parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
analysis_id,946n1guw0cxm813
gene_accession_id,MGI:95835
pvalue,0.0590209
mouse_life_stage,E9.5
gene_symbol,Hspa5
mouse_strain,C57BL
