gene_symbol,ARPC5L
parameter_id,ESLIM_011_001_007
mouse_life_stage,Early adult
pvalue,0.4284718
parameter_name,PP1 + pulse startle magnitude
mouse_strain,C57BL
analysis_id,t2185m8hz1v7wu7
gene_accession_id,MGI:1921442
