analysis_id,2b580ui1mr31wk4
parameter_id,IMPC_XRY_024_001
gene_symbol,Extl1
parameter_name,Femur
gene_accession_id,MGI:1888742
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6144352
