gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
mouse_strain,C57BL
pvalue,0.9735049
parameter_id,HRWLLA_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
analysis_id,9q04f96503723n5
mouse_life_stage,Early adult
