gene_symbol,Hnf4a
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_004_002
analysis_id,f0j7613c4v1ie87
gene_accession_id,MGI:109128
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.8507986
