parameter_id,JAXLA_OFD_017_001
mouse_life_stage,Early adult
parameter_name,Center average speed
pvalue,0.2519563
gene_symbol,Amigo1
mouse_strain,C57BL
analysis_id,12a002mn3s1mo2t
gene_accession_id,MGI:2653612
