parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1914556
analysis_id,29flp53pg01m24u
gene_symbol,Zc2hc1a
pvalue,0.2023735
mouse_strain,C57BL
mouse_life_stage,Early adult
