analysis_id,826878swi185z1z
mouse_strain,C57BL
pvalue,0.7021249
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
parameter_id,IMPC_DXA_004_001
gene_symbol,Arpc5l
parameter_name,Bone Mineral Density (excluding skull)
