analysis_id,4ks5xu1i4436l4h
parameter_id,IMPC_IMM_047_001
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:107414
mouse_strain,C57BL
gene_symbol,Tnfsf10
pvalue,0.4905818
