analysis_id,9y4p166o265984t
mouse_life_stage,E12.5
gene_symbol,Mapkap1
parameter_id,IMPC_XRY_065_001
parameter_name,Lumbar processes
mouse_strain,C57BL
pvalue,0.05708597
gene_accession_id,MGI:2444554
