parameter_name,Aggression
gene_accession_id,MGI:106100
pvalue,0.9528366
mouse_strain,C57BL
gene_symbol,Etfdh
mouse_life_stage,Early adult
analysis_id,nfs1b7cw4l22t36
parameter_id,IMPC_CSD_079_001
