analysis_id,0btfs69gchojve9
mouse_strain,C57BL
gene_symbol,F2
pvalue,0.5017349
parameter_id,IMPC_GEP_084_001
parameter_name,Limb morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
