gene_symbol,Dmap1
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_id,MGP_CSD_008_001
pvalue,0.6148372
mouse_life_stage,Early adult
parameter_name,Startle response
analysis_id,715laaj0pv34hg7
