analysis_id,31rydp6rek3o06w
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
pvalue,0.8840805
mouse_life_stage,Early adult
mouse_strain,C57BL
