analysis_id,v951qbe16m2c21z
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
pvalue,0.1518624
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
mouse_strain,C57BL
parameter_name,B1B Cells
