parameter_name,Ly6Clow monocyte percentage
mouse_strain,C57BL
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
analysis_id,pp17djxeg336815
parameter_id,MGP_PBI_018_001
gene_symbol,Stk35
pvalue,0.8323232
