parameter_name,Retina (combined)
pvalue,0.1726725
gene_symbol,Rab13
mouse_strain,C57BL
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
analysis_id,r18wifd58503q43
parameter_id,IMPC_EYE_092_002
