gene_symbol,Npbwr1
mouse_life_stage,Early adult
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
analysis_id,v4en7ae79g82tr1
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:891989
pvalue,0.5407498
