analysis_id,5349418860wvb61
gene_accession_id,MGI:2685277
pvalue,0.1986813
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
parameter_name,Neutrophil percentage
