gene_symbol,Kdm5b
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
analysis_id,63uqgr29pip5o64
pvalue,0.5288644
