parameter_name,Edema
analysis_id,28e894104eo87t2
gene_accession_id,MGI:88071
parameter_id,IMPC_GEO_064_001
pvalue,0.5943691
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arnt
