parameter_name,Calcium
pvalue,0.716443
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
gene_symbol,Slx4ip
analysis_id,nb544v8o46c79y2
parameter_id,IMPC_CBC_009_001
