parameter_name,Heart weight
pvalue,0.2788911
mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
gene_symbol,Inpp1
analysis_id,c42g3021g91jho6
