parameter_name,Ly6Clow monocyte percentage
parameter_id,MGP_PBI_018_001
mouse_life_stage,E12.5
gene_symbol,FGB
mouse_strain,C57BL
analysis_id,s100e8w7noapl09
pvalue,0.4218495
gene_accession_id,MGI:99501
