parameter_name,Response amplitude - S
pvalue,0.7212834
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
analysis_id,023f836l4p07mhu
parameter_id,IMPC_ACS_006_001
gene_symbol,Snap23
mouse_strain,C57BL
