parameter_name,Sacral processes
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
pvalue,0.6340613
gene_symbol,Trpa1
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
analysis_id,u84xhf4tr1w27v7
