mouse_life_stage,Middle aged adult
parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
analysis_id,utui017n584shw4
gene_symbol,Snap23
pvalue,0.422491
gene_accession_id,MGI:109356
mouse_strain,C57BL
