analysis_id,bjtw5lr24i149e5
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,129SV
pvalue,0.1981052
gene_symbol,Cntfr
