parameter_name,Retinal Blood Vessels
mouse_strain,C57BL
analysis_id,gc373f33d2fk0od
parameter_id,IMPC_EYE_024_001
pvalue,0.5644309
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,E9.5
