gene_symbol,BMP7
analysis_id,yt1vu6of09623f8
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
gene_accession_id,MGI:103302
pvalue,0.4910402
mouse_life_stage,Early adult
