parameter_name,Pupil Dilation
parameter_id,IMPC_EYE_013_001
mouse_strain,C57BL
analysis_id,cs46summsn478c8
gene_symbol,Hpca
mouse_life_stage,Late adult
pvalue,0.6757965
gene_accession_id,MGI:1336200
