gene_symbol,Gja10
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.1585408
gene_accession_id,MGI:1339969
analysis_id,b004235mjjy37np
mouse_life_stage,Early adult
mouse_strain,C56BL
