gene_symbol,Ncaph
pvalue,0.4692025
parameter_name,Others
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
analysis_id,75474j875rvltz6
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
