parameter_name,center - resting time
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,M-G-P_007_001_011
pvalue,0.5860368
analysis_id,316m35g59061dc1
gene_symbol,Tiprl
