gene_symbol,Ints7
pvalue,0.9712415
mouse_life_stage,E9.5
analysis_id,nda4hq493o94410
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,IMPC_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
